diamond_tag,primal_a,primal_b,center_x,center_y,center_z,grad_x,grad_y,grad_z,error_to_exact_surface_gradient
342,85,86,-0.5684680573304752,-0.2891984770955884,0.760536871672975,-0.6749844180153531,-1.2249178073984295,-0.9740338120382689,0.022832655366121397
343,85,88,-0.46640956259472227,-0.2504680159833383,0.8406769106242106,-0.11224039369424449,-1.2334224235512457,-0.43656211047050053,0.02288982899176408
344,85,118,-0.46673256884086156,-0.11859664816126804,0.8709092845089367,-0.15498417331494224,-0.6289333905678078,-0.1708372045432131,0.018535499173734385
345,85,152,-0.539907108085899,-0.011969691021933375,0.8340351360968437,-0.7529620861981586,-0.0405989798458502,-0.4908612772261735,0.02125522183245735
346,86,88,-0.46436161162949263,-0.38231600918858527,0.7909065771916929,0.025734958934612195,-1.6293421831285109,-0.7703335969563625,0.04599988558784907
347,86,124,-0.5240755720934808,-0.5342750595646791,0.6549038106887349,0.060516530780358346,-1.6535493211373664,-1.3090972975225004,0.02857672124627034
348,86,173,-0.6421569856389199,-0.455013140471381,0.6069706787184241,-0.33224357785120695,-1.2388298246529177,-1.2881192581323575,0.0763207823913198
349,86,177,-0.4469873717337583,-0.4910901340836843,0.7399002428694196,0.1447555046204717,-1.7816512605139252,-1.0865229334070943,0.05935159734094058
350,87,113,-0.5336996483448939,0.4728463261259791,0.6880288332939771,-0.13328918655759014,1.6339735752985587,-1.2376662129565248,0.04028157394536563
351,87,125,-0.6456038656293814,0.4235587659960931,0.6261758747736853,-0.4756849217985768,1.2488663403464053,-1.3097378875061556,0.05513639850199725
352,87,152,-0.5619023627410161,0.2258432461311272,0.7883340317252849,-0.7353675858216819,1.00270897042511,-0.8181767691769135,0.03450111409208359
353,87,154,-0.5016767624342824,0.34558616777346535,0.7850036927435545,-0.20980052604554628,1.54801320875199,-0.8355611870216133,0.0331125087954374
354,88,118,-0.36487957531713,-0.21932893851062726,0.8980784296425609,0.746716641452637,-1.0540333752678892,0.04258591865819694,0.04435290522358864
355,88,120,-0.23826452908366488,-0.4336474179437309,0.861267559682825,1.1528892835480253,-1.3976224140186317,-0.3766538702166836,0.09170928650044026
356,88,122,-0.2327269828162341,-0.31977205047883916,0.910898955040266,1.5242819377231225,-1.1673264855342265,-0.01893432565777367,0.02586940747992116
357,88,177,-0.3484448388629258,-0.4527852698344402,0.8147587430644148,0.5958829529558767,-1.7168569156110918,-0.6811315364528449,0.048997900091009405
