primal_vertex_tag,dual_quadrangle_element_tag,primal_face_index
912,758,253
54,759,253
880,760,254
910,761,254
828,762,254
56,763,255
929,764,255
55,765,255
884,766,256
935,767,256
824,768,256
45,769,257
913,770,257
35,771,257
858,772,258
922,773,258
905,774,258
828,775,259
910,776,259
875,777,259
868,778,260
923,779,260
839,780,260
884,781,261
920,782,261
836,783,261
55,784,262
929,785,262
900,786,262
883,787,263
933,788,263
840,789,263
893,790,264
918,791,264
832,792,264
838,793,265
932,794,265
837,795,265
836,796,266
920,797,266
899,798,266
855,799,267
916,800,267
853,801,267
48,802,268
917,803,268
49,804,268
883,805,269
931,806,269
851,807,269
857,808,270
936,809,270
915,810,270
885,811,271
926,812,271
863,813,271
905,814,272
922,815,272
857,816,272
860,817,273
935,818,273
884,819,273
908,820,274
912,821,274
873,822,274
48,823,275
921,824,275
47,825,275
905,826,276
915,827,276
855,828,276
861,829,277
919,830,277
