diamond_tag,primal_a,primal_b,face_k,face_l
368,78,368,755,789
369,78,397,789,793
370,79,242,114,134
371,79,246,40,88
372,79,314,40,485
373,79,338,88,114
374,79,381,134,593
375,80,315,26,483
376,80,316,560,798
377,80,342,26,612
378,80,404,612,798
379,81,309,194,594
380,81,317,486,729
381,81,323,194,655
382,81,370,594,632
383,81,409,655,729
384,82,277,646,709
385,82,316,487,703
386,82,355,703,812
387,82,398,709,812
388,82,407,646,681
389,83,317,548,561
390,83,318,548,714
391,83,319,562,700
392,83,358,700,714
393,84,320,45,490
394,84,324,45,269
395,84,325,269,648
396,84,378,638,648
397,85,235,44,68
398,85,276,44,450
399,85,277,68,610
400,85,307,450,574
401,85,407,591,610
402,86,273,53,203
403,86,319,489,508
404,86,385,203,508
405,87,247,4,145
406,87,307,4,322
407,87,322,449,710
408,87,364,145,710
409,88,241,15,117
410,88,257,15,91
411,88,273,71,91
412,88,321,117,447
413,89,292,525,694
414,89,301,251,583
415,89,353,119,583
416,89,371,119,694
417,90,240,32,139
418,90,255,32,61
419,90,256,61,592
420,90,282,139,564
421,90,411,592,667
422,91,286,211,221
423,91,287,211,538
424,91,339,538,787
425,91,392,784,787
426,92,289,511,571
427,92,290,511,544
428,92,343,544,803
429,92,395,773,803
430,93,288,146,220
431,93,335,146,715
432,93,344,715,805
433,93,394,783,805
434,94,291,558,572
435,94,347,808,810
436,94,393,774,810
437,94,403,558,808
438,95,284,280,307
439,95,287,228,246
440,95,339,246,636
441,95,340,228,280
442,96,244,100,108
443,96,281,100,606
444,96,335,108,650
445,96,344,567,650
446,96,376,606,611
447,97,98,467,470
448,97,179,92,467
449,98,99,478,479
450,98,100,459,479
451,98,142,198,459
452,98,179,198,467
453,99,100,461,479
454,99,101,189,461
455,99,238,31,403
456,99,239,42,189
457,99,400,31,42
458,100,101,453,461
459,100,102,64,453
460,100,142,346,459
461,100,218,64,102
462,100,410,102,346
463,101,102,436,453
464,101,103,402,436
465,101,157,283,402
466,101,239,189,283
467,102,103,417,436
468,102,104,417,429
469,102,105,169,429
